Фраза = Перевод | Частота | Важность DGT | Самостоятельная ценность | Маркерная ценность | Частотность слов ÷ 6 | Общий рейтинг
una prueba deportiva = спортивное мероприятие | 1 | 0 | 2 | 0 | 0.5 | 3.5
volver a aparecer = снова появиться | 1 | 0 | 2 | 0 | 0.5 | 3.5
en general = в целом | 2 | 0 | 1 | 0 | 0.5 | 3.5
el asiento = сиденье | 1 | 0 | 1 | 0 | 1.5 | 3.5
existe el peligro = существует опасность | 1 | 0 | 1 | 0 | 1.5 | 3.5
existe peligro = Существует опасность | 1 | 0 | 1 | 0 | 1.5 | 3.5
lesión grave = тяжёлая травма | 1 | 0 | 1 | 0 | 1.5 | 3.5
lesión очень grave = очень тяжёлая травма | 1 | 0 | 1 | 0 | 1.5 | 3.5
no, siempre se aplicará = нет, всегда будет применяться / распространяться | 1 | 0 | 1 | 0 | 1.5 | 3.5
obstaculizar el paso = препятствовать движению | 1 | 0 | 1 | 0 | 1.5 | 3.5
tener más posibilidades de = иметь больше вероятности | 1 | 0 | 1 | 0 | 1.5 | 3.5
todo tipo de = любого типа | 1 | 0 | 1 | 0 | 1.5 | 3.5
a distinto nivel = на другом уровне | 1 | 0 | 2 | 0 | 0.33 | 3.33
a través de = через | 1 | 0 | 2 | 0 | 0.33 | 3.33
Arrojar un cigarro por la ventanilla = Выбросить сигарету в окно | 1 | 0 | 2 | 0 | 0.33 | 3.33
aunque no sea necesario = даже если это не необходимо | 1 | 0 | 2 | 0 | 0.33 | 3.33
comienza a arder = начинает гореть | 1 | 0 | 2 | 0 | 0.33 | 3.33
con la máxima celeridad = с максимальной быстротой | 1 | 0 | 2 | 0 | 0.33 | 3.33
dentro de poblado = в населённом пункте | 1 | 0 | 2 | 0 | 0.33 | 3.33
El de posición = габаритный свет | 1 | 0 | 2 | 0 | 0.33 | 3.33
el viaje dura más = поездка длится дольше | 1 | 0 | 2 | 0 | 0.33 | 3.33
en condiciones normales = при нормальных условиях | 1 | 0 | 2 | 0 | 0.33 | 3.33
en lugar del = вместо | 1 | 0 | 2 | 0 | 0.33 | 3.33
en sus proximidades = в непосредственной близости от него | 1 | 0 | 2 | 0 | 0.33 | 3.33
en un poblado = в населённом пункте | 1 | 0 | 2 | 0 | 0.33 | 3.33
estar a ralentí = работать на холостом ходу | 1 | 0 | 2 | 0 | 0.33 | 3.33
guardar una separación lateral = сохранять боковой интервал | 1 | 0 | 2 | 0 | 0.33 | 3.33
línea longitudinal continua = сплошная продольная линия | 1 | 0 | 2 | 0 | 0.33 | 3.33
líneas de separación de carriles = линии разделения полос движения | 1 | 0 | 2 | 0 | 0.33 | 3.33
mayores de edad = совершеннолетние | 1 | 0 | 2 | 0 | 0.33 | 3.33
Mirar el nivel de aceite = проверить масло | 1 | 0 | 2 | 0 | 0.33 | 3.33
molestias en la nuca = неудобства в затылке | 1 | 0 | 2 | 0 | 0.33 | 3.33
no exime de obedecer = не освобождает от обязанности выполнять | 1 | 0 | 2 | 0 | 0.33 | 3.33
no obstaculiza gravemente = не создает серьезных препятствий | 1 | 0 | 2 | 0 | 0.33 | 3.33
no sea superior a 3.500 kilogramos = не более 3500 килограммов | 1 | 0 | 2 | 0 | 0.33 | 3.33
palma de la mano hacia atrás = ладонь направлена назад | 1 | 0 | 2 | 0 | 0.33 | 3.33
rebasar la línea continua = пересечь сплошную линию | 1 | 0 | 2 | 0 | 0.33 | 3.33
relación de marchas = передаточное отношение, передача | 1 | 0 | 2 | 0 | 0.33 | 3.33
resistencia a la rodadura = сопротивление качению | 1 | 0 | 2 | 0 | 0.33 | 3.33
saldo de puntos = баланс баллов | 1 | 0 | 2 | 0 | 0.33 | 3.33
saldo total de puntos = полный запас баллов | 1 | 0 | 2 | 0 | 0.33 | 3.33
se encuentra parado = находится в неподвижном состоянии | 1 | 0 | 2 | 0 | 0.33 | 3.33
una vez notificada = после официального уведомления | 1 | 0 | 2 | 0 | 0.33 | 3.33
depender de = зависеть от | 2 | 0 | 1 | 0 | 0.33 | 3.33
arrojar cualquier objeto = бросить любой предмет | 1 | 0 | 1 | 0 | 1.33 | 3.33
corresponder al sentido contrario = соответствовать встречному направлению | 1 | 0 | 1 | 0 | 1.33 | 3.33
favorecer las distracciones = способствовать отвлечению внимания | 1 | 0 | 1 | 0 | 1.33 | 3.33
hay peligro = есть опасность | 1 | 0 | 1 | 0 | 1.33 | 3.33
largo alcance = дальний радиус действия | 1 | 0 | 1 | 0 | 1.33 | 3.33
marcha alta = высокая передача | 1 | 0 | 1 | 0 | 1.33 | 3.33
marcha baja = низкая передача | 1 | 0 | 1 | 0 | 1.33 | 3.33
marcha corta = низкая передача | 1 | 0 | 1 | 0 | 1.33 | 3.33
marcha larga = высокая передача | 1 | 0 | 1 | 0 | 1.33 | 3.33
percibe un peligro = заметил опасность | 1 | 0 | 1 | 0 | 1.33 | 3.33
persona mayor = пожилой человек | 1 | 0 | 1 | 0 | 1.33 | 3.33
prever un peligro = предвидеть опасность | 1 | 0 | 1 | 0 | 1.33 | 3.33
sin peligro = без создания опасности | 1 | 0 | 1 | 0 | 1.33 | 3.33
solamente recomendable = только рекомендуется | 1 | 0 | 1 | 0 | 1.33 | 3.33
su marcha = его движение, направление движения | 1 | 0 | 1 | 0 | 1.33 | 3.33
sufrir un trastorno depresivo = страдать от депрессивного расстройства | 1 | 0 | 1 | 0 | 1.33 | 3.33
tener que = быть обязанным, необходимо | 1 | 0 | 1 | 0 | 1.33 | 3.33
A la estación de autobuses = на автобусную станцию | 1 | 0 | 2 | 0 | 0.17 | 3.17
acelerar en punto muerto = ускорение на нейтральной передаче | 1 | 0 | 2 | 0 | 0.17 | 3.17
Ante la duda = Когда сомневаетесь | 1 | 0 | 2 | 0 | 0.17 | 3.17
anticiparse a las maniobras = предвидеть маневры | 1 | 0 | 2 | 0 | 0.17 | 3.17
aunque tenga que = даже если придётся | 1 | 0 | 2 | 0 | 0.17 | 3.17
baliza de borde provisional = временная направляющая веха | 1 | 0 | 2 | 0 | 0.17 | 3.17
centro de la banda de rodamiento = центр протектора | 1 | 0 | 2 | 0 | 0.17 | 3.17
con el brazo = рукой | 1 | 0 | 2 | 0 | 0.17 | 3.17
con fines de ocio = для развлечения, досуга | 1 | 0 | 2 | 0 | 0.17 | 3.17
de los usuarios = пользователям | 1 | 0 | 2 | 0 | 0.17 | 3.17
dos ruedas por lo menos = два колеса как минимум | 1 | 0 | 2 | 0 | 0.17 | 3.17
emisión de contaminantes = выброс загрязняющих веществ | 1 | 0 | 2 | 0 | 0.17 | 3.17
empañen los cristales = запотевают стекла. | 1 | 0 | 2 | 0 | 0.17 | 3.17
en el interior de = внутри | 1 | 0 | 2 | 0 | 0.17 | 3.17
en punto muerto = на нейтральной передаче | 1 | 0 | 2 | 0 | 0.17 | 3.17
es inferior a la recomendada = ниже рекомендованного уровня | 1 | 0 | 2 | 0 | 0.17 | 3.17
habilitado por la autoridad = уполномочен соответствующим органом | 1 | 0 | 2 | 0 | 0.17 | 3.17
Hacerle la respiración artificial. = Сделайте ему искусственное дыхание. | 1 | 0 | 2 | 0 | 0.17 | 3.17
inferior a la recomendada = ниже рекомендованного | 1 | 0 | 2 | 0 | 0.17 | 3.17
la que recorre = то, которое проходит | 1 | 0 | 2 | 0 | 0.17 | 3.17
Líquido de parabrisas = жидкость стеклоомывателя | 1 | 0 | 2 | 0 | 0.17 | 3.17
menores de doce años = младше двенадцати лет | 1 | 0 | 2 | 0 | 0.17 | 3.17
más a la izquierda = самый левый | 1 | 0 | 2 | 0 | 0.17 | 3.17
número de pasajeros = количество пассажиров | 1 | 0 | 2 | 0 | 0.17 | 3.17
por la izquierda = по левой стороне | 1 | 0 | 2 | 0 | 0.17 | 3.17
por los laterales = по бокам | 1 | 0 | 2 | 0 | 0.17 | 3.17
Primera a la izquierda = первый поворот налево | 1 | 0 | 2 | 0 | 0.17 | 3.17
responder a una llamada = ответить на звонок | 1 | 0 | 2 | 0 | 0.17 | 3.17
resto de usuarios = другие пользователи | 1 | 0 | 2 | 0 | 0.17 | 3.17
Seguir de frente = ехать прямо | 1 | 0 | 2 | 0 | 0.17 | 3.17
servicio de urgencia = экстренная служба, срочное задание | 1 | 0 | 2 | 0 | 0.17 | 3.17
silla de ruedas = инвалидная коляска | 1 | 0 | 2 | 0 | 0.17 | 3.17
sin baca ahorro carburante = Экономия топлива без багажника на крыше | 1 | 0 | 2 | 0 | 0.17 | 3.17
sobrevalora sus propias capacidades = переоценивает свои собственные способности | 1 | 0 | 2 | 0 | 0.17 | 3.17
Solicitar la prórroga = Запросить продление | 1 | 0 | 2 | 0 | 0.17 | 3.17
Una enfermedad leve = Легкое заболевание | 1 | 0 | 2 | 0 | 0.17 | 3.17
when las ruedas traseras derrapen = когда задние колеса скользят | 1 | 0 | 2 | 0 | 0.17 | 3.17
when no sea obligatoria = когда не является обязательной | 1 | 0 | 2 | 0 | 0.17 | 3.17
zona de deformación = зона деформации | 1 | 0 | 2 | 0 | 0.17 | 3.17
es conveniente = это удобно | 2 | 0 | 1 | 0 | 0.17 | 3.17
los demás usuarios = другие участники движения | 2 | 0 | 1 | 0 | 0.17 | 3.17
ahorrar combustible = экономить топливо | 1 | 0 | 1 | 0 | 1.17 | 3.17
Bloquear el volante = заблокировать руль | 1 | 0 | 1 | 0 | 1.17 | 3.17
circula delante = движется впереди | 1 | 0 | 1 | 0 | 1.17 | 3.17
cuando se circula = когда осуществляется движение | 1 | 0 | 1 | 0 | 1.17 | 3.17
espacio suficiente = достаточное пространство | 1 | 0 | 1 | 0 | 1.17 | 3.17
luz verde = зелёный сигнал светофора | 1 | 0 | 1 | 0 | 1.17 | 3.17
proteger al niño = защитить ребенка | 1 | 0 | 1 | 0 | 1.17 | 3.17
Próximo cruce = следующий перекрёсток | 1 | 0 | 1 | 0 | 1.17 | 3.17
que circule detrás = тот, кто едет сзади | 1 | 0 | 1 | 0 | 1.17 | 3.17
seguir circulando = продолжать движение | 1 | 0 | 1 | 0 | 1.17 | 3.17
suficiente experiencia = достаточный опыт | 1 | 0 | 1 | 0 | 1.17 | 3.17
sufrir un trastorno = страдать расстройством | 1 | 0 | 1 | 0 | 1.17 | 3.17
sí, pero sólo cuando = да, но только тогда когда | 1 | 0 | 1 | 0 | 1.17 | 3.17
Sólo excepcionalmente = Только в исключительных случаях | 1 | 0 | 1 | 0 | 1.17 | 3.17
Visión + anticipación + espacio = три принципа защитного вождения | 1 | 0 | 1 | 0 | 1.17 | 3.17
Visión, anticipación y espacio = Обзор, предвидение и дистанция/пространство | 1 | 0 | 1 | 0 | 1.17 | 3.17
víctima mortal = погибший | 1 | 0 | 1 | 0 | 1.17 | 3.17
A la estación del tren = на ж/д станцию | 1 | 0 | 2 | 0 | 0 | 3
a partir de = начиная с, после | 1 | 0 | 2 | 0 | 0 | 3
Abra el capó = откройте капот | 1 | 0 | 2 | 0 | 0 | 3
Abra el maletero = откройте багажник | 1 | 0 | 2 | 0 | 0 | 3
afecta al agarre = это влияет на сцепление с дорогой | 1 | 0 | 2 | 0 | 0 | 3
animales de montura = верховые животные с всадником | 1 | 0 | 2 | 0 | 0 | 3
banda de rodamiento = протектор шины | 1 | 0 | 2 | 0 | 0 | 3
botiquín de primeros auxilios = аптечка первой помощи | 1 | 0 | 2 | 0 | 0 | 3
cada vez más frecuentes = всё более частые | 1 | 0 | 2 | 0 | 0 | 3
capaces de contaminar el agua = способные загрязнять воду | 1 | 0 | 2 | 0 | 0 | 3
Cierra el capó = закройте капот | 1 | 0 | 2 | 0 | 0 | 3
Cierra el maletero = закройте багажник | 1 | 0 | 2 | 0 | 0 | 3
CLAVÍCULA + CADERA = правильно там проходит ремень безопасности | 1 | 0 | 2 | 0 | 0 | 3
colgar una llamada = завершить (сбросить) звонок | 1 | 0 | 2 | 0 | 0 | 3
con el hombro = плечом. | 1 | 0 | 2 | 0 | 0 | 3
con fines de comunicación = для целей связи | 1 | 0 | 2 | 0 | 0 | 3
con independencia de = независимо от | 1 | 0 | 2 | 0 | 0 | 3
contra el asfalto = об асфальт | 1 | 0 | 2 | 0 | 0 | 3
corriente de agua = поток воды | 1 | 0 | 2 | 0 | 0 | 3
cuiden que el tubo de escape = позаботьтесь о выхлопной трубе | 1 | 0 | 2 | 0 | 0 | 3
de arriba abajo = в верх в низ | 1 | 0 | 2 | 0 | 0 | 3
de dos a seis años = от двух до шести лет | 1 | 0 | 2 | 0 | 0 | 3
De forma uniforme = Равномерно | 1 | 0 | 2 | 0 | 0 | 3
de más de diez años = старше десяти лет | 1 | 0 | 2 | 0 | 0 | 3
de recogida de residuos = для сбора отходов | 1 | 0 | 2 | 0 | 0 | 3
de sonido no estridente = нерезкий звук | 1 | 0 | 2 | 0 | 0 | 3
desde un camino privado = с частной дороги | 1 | 0 | 2 | 0 | 0 | 3
disminuyendo la inclinación = уменьшение наклона | 1 | 0 | 2 | 0 | 0 | 3
en ambos sentidos = в обоих направлениях | 1 | 0 | 2 | 0 | 0 | 3
en aquellos tramos = на тех участках | 1 | 0 | 2 | 0 | 0 | 3
en contradicción con las normas = в противоречии с общими правилами | 1 | 0 | 2 | 0 | 0 | 3
en defecto de = при отсутствии, в случае неисправности | 1 | 0 | 2 | 0 | 0 | 3
en determinadas situaciones = в определенных ситуациях | 1 | 0 | 2 | 0 | 0 | 3
En el maletero = В багажнике | 1 | 0 | 2 | 0 | 0 | 3
en el que = на котором | 1 | 0 | 2 | 0 | 0 | 3
En las que exijan una respuesta rápida. = В тех случаях, когда требуется быстрая реакция. | 1 | 0 | 2 | 0 | 0 | 3
en su defecto = при отсутствии, в случае невозможности | 1 | 0 | 2 | 0 | 0 | 3
en tanto que = поскольку, так как | 1 | 0 | 2 | 0 | 0 | 3
en vez de = вместо | 1 | 0 | 2 | 0 | 0 | 3
Expulsar a un insecto = Изгонять насекомое | 1 | 0 | 2 | 0 | 0 | 3
fatigarse con rapidez = быстро утомляться | 1 | 0 | 2 | 0 | 0 | 3
fecha de expedición = дата выдачи | 1 | 0 | 2 | 0 | 0 | 3
Hacia el puerto = в порт | 1 | 0 | 2 | 0 | 0 | 3
hallarse en servicio = находиться при исполнении служебного задания | 1 | 0 | 2 | 0 | 0 | 3
huesos de la cadera = кости таза | 1 | 0 | 2 | 0 | 0 | 3
La toma de decisiones = Принятие решений | 1 | 0 | 2 | 0 | 0 | 3
mirar a lo lejos = посмотрите вдаль | 1 | 0 | 2 | 0 | 0 | 3
no disponga de = не располагает, не имеет в наличии | 1 | 0 | 2 | 0 | 0 | 3
no disponga de... = не располагает / не имеет в наличии | 1 | 0 | 2 | 0 | 0 | 3
no se aplica a = не распространяется на | 1 | 0 | 2 | 0 | 0 | 3
Ponemos la luneta trasera = включить обогрев стекла | 1 | 0 | 2 | 0 | 0 | 3
por ambos lados = с обеих сторон | 1 | 0 | 2 | 0 | 0 | 3
por debajo del abdomen = ниже живота | 1 | 0 | 2 | 0 | 0 | 3
por la que circulen = по которой они движутся | 1 | 0 | 2 | 0 | 0 | 3
presión de inflado = давление накачки шин | 1 | 0 | 2 | 0 | 0 | 3
Repita por favor = повторите пожалуйста | 1 | 0 | 2 | 0 | 0 | 3
se aplica a = распространяется на | 1 | 0 | 2 | 0 | 0 | 3
Se considera que = Считается, что | 1 | 0 | 2 | 0 | 0 | 3
se encuentra entre = входит в число | 1 | 0 | 2 | 0 | 0 | 3
se ha desconectado previamente = была предварительно отключена | 1 | 0 | 2 | 0 | 0 | 3
se ha estropeado = сломался, вышел из строя | 1 | 0 | 2 | 0 | 0 | 3
se inclina hacia delante = наклоняется вперёд | 1 | 0 | 2 | 0 | 0 | 3
se trata de = речь идёт о | 1 | 0 | 2 | 0 | 0 | 3
si la lleva = если имеются | 1 | 0 | 2 | 0 | 0 | 3
Si, para proporcionar = Да, для обеспечения | 1 | 0 | 2 | 0 | 0 | 3
suelta y no forzada = расслабленный и непринужденный | 1 | 0 | 2 | 0 | 0 | 3
sustituirlo en los plazos = заменить его в установленные сроки | 1 | 0 | 2 | 0 | 0 | 3
Sí, en determinados casos. = Да, в некоторых случаях. | 1 | 0 | 2 | 0 | 0 | 3
Tapón de aceite = крышка масла | 1 | 0 | 2 | 0 | 0 | 3
Tratando de no inclinar = Старайтесь не наклоняться | 1 | 0 | 2 | 0 | 0 | 3
una sillita para niños = детское автокресло | 1 | 0 | 2 | 0 | 0 | 3
una vez iniciada = после начала | 1 | 0 | 2 | 0 | 0 | 3
uno de cada tres = один из трёх | 1 | 0 | 2 | 0 | 0 | 3
Vaya donde quiera = езжайте куда хотите | 1 | 0 | 2 | 0 | 0 | 3
dependiendo de = в зависимости от | 2 | 0 | 1 | 0 | 0 | 3
ya que = поскольку | 2 | 0 | 1 | 0 | 0 | 3
al volante = за рулём | 1 | 0 | 1 | 0 | 1 | 3
ante cualquier imprevisto = при любом непредвиденном обстоятельстве | 1 | 0 | 1 | 0 | 1 | 3
Cediendo el paso = Уступая дорогу | 1 | 0 | 1 | 0 | 1 | 3
Desbloquear el volante = разблокировать руль | 1 | 0 | 1 | 0 | 1 | 3
es correcto su comportamiento? = правильно ли его поведение? | 1 | 0 | 1 | 0 | 1 | 3
Glorieta partida = сложная круговая развязка | 1 | 0 | 1 | 0 | 1 | 3
Inmovilizar el coche = обездвижить машину | 1 | 0 | 1 | 0 | 1 | 3
lesión cervical = травма шеи | 1 | 0 | 1 | 0 | 1 | 3
más distracciones = больше отвлекающих факторов | 1 | 0 | 1 | 0 | 1 | 3
pasar antes = проехать первым | 1 | 0 | 1 | 0 | 1 | 3
procurar que los demás conductores puedan = обеспечить возможность другим водителям | 1 | 0 | 1 | 0 | 1 | 3
reducir las consecuencias = уменьшить последствия | 1 | 0 | 1 | 0 | 1 | 3
Seguimos circulando = продолжаем движение | 1 | 0 | 1 | 0 | 1 | 3
sentido habitual = обычное направление | 1 | 0 | 1 | 0 | 1 | 3
uso del teléfono móvil = использование мобильного телефона | 1 | 0 | 1 | 0 | 1 | 3
¿es correcto su comportamiento? = правильно ли он поступает? | 1 | 0 | 1 | 0 | 1 | 3
Al centro urbano = в центр города | 1 | 0 | 1 | 0 | 0.83 | 2.83
antelación suficiente = достаточно заблаговременно | 1 | 0 | 1 | 0 | 0.83 | 2.83
determinados vehículos = определённые транспортные средства | 1 | 0 | 1 | 0 | 0.83 | 2.83
Entre dos vehículos = Между двумя транспортными средствами | 1 | 0 | 1 | 0 | 0.83 | 2.83
es mayor = больше | 1 | 0 | 1 | 0 | 0.83 | 2.83
no está implicado = не причастен | 1 | 0 | 1 | 0 | 0.83 | 2.83
pedir ayuda = обращаться за помощью | 1 | 0 | 1 | 0 | 0.83 | 2.83
próxima salida = ближайший съезд | 1 | 0 | 1 | 0 | 0.83 | 2.83
queda inmovilizado = оказывается обездвиженным | 1 | 0 | 1 | 0 | 0.83 | 2.83
ser responsable de = отвечать за | 1 | 0 | 1 | 0 | 0.83 | 2.83
sólo dispone de = имеет только | 1 | 0 | 1 | 0 | 0.83 | 2.83
sólo si = только если | 1 | 0 | 1 | 0 | 0.83 | 2.83
usuario vulnerable = уязвимый участник дорожного движения | 1 | 0 | 1 | 0 | 0.83 | 2.83
aunque no exista = даже если не существует | 1 | 0 | 1 | 0 | 0.67 | 2.67
Chaleco reflectante = жилет | 1 | 0 | 1 | 0 | 0.67 | 2.67
colocar los espejos = настраивать зеркала | 1 | 0 | 1 | 0 | 0.67 | 2.67
cortar el contacto = выключить зажигание | 1 | 0 | 1 | 0 | 0.67 | 2.67
cuando exista = когда имеется | 1 | 0 | 1 | 0 | 0.67 | 2.67
Cuenta revoluciones = тахометр | 1 | 0 | 1 | 0 | 0.67 | 2.67
de alcance = наезда сзади | 1 | 0 | 1 | 0 | 0.67 | 2.67
dejar completamente libre = оставить полностью свободным | 1 | 0 | 1 | 0 | 0.67 | 2.67
dejar separación = оставить интервал | 1 | 0 | 1 | 0 | 0.67 | 2.67
Detener el coche = остановить машину | 1 | 0 | 1 | 0 | 0.67 | 2.67
efecto submarino = эффект подныривания под ремень безопасности | 1 | 0 | 1 | 0 | 0.67 | 2.67
es peligroso = это опасно | 1 | 0 | 1 | 0 | 0.67 | 2.67
estar al día = быть в порядке, быть актуальным | 1 | 0 | 1 | 0 | 0.67 | 2.67
hasta cuándo = до какого времени, до каких пор | 1 | 0 | 1 | 0 | 0.67 | 2.67
medicamento relajante = успокоительное лекарство | 1 | 0 | 1 | 0 | 0.67 | 2.67
menos ansioso = менее тревожный | 1 | 0 | 1 | 0 | 0.67 | 2.67
menos irritable = менее раздражительный | 1 | 0 | 1 | 0 | 0.67 | 2.67
muy grave = очень тяжёлый | 1 | 0 | 1 | 0 | 0.67 | 2.67
más ansioso = более тревожный | 1 | 0 | 1 | 0 | 0.67 | 2.67
más irritable = более раздражительный | 1 | 0 | 1 | 0 | 0.67 | 2.67
para advertir = для предупреждения | 1 | 0 | 1 | 0 | 0.67 | 2.67
persona autorizada = уполномоченное лицо | 1 | 0 | 1 | 0 | 0.67 | 2.67
Ponemos el aire acondicionado = включить кондиционер | 1 | 0 | 1 | 0 | 0.67 | 2.67
si no es posible = если это невозможно | 1 | 0 | 1 | 0 | 0.67 | 2.67
solamente si = только если | 1 | 0 | 1 | 0 | 0.67 | 2.67
solicitar ayuda = попросить помощь | 1 | 0 | 1 | 0 | 0.67 | 2.67
tiene que cumplir = он должен соответствовать | 1 | 0 | 1 | 0 | 0.67 | 2.67
tras comprobar = после того как убедились | 1 | 0 | 1 | 0 | 0.67 | 2.67
un tiempo prudencial = разумное время | 1 | 0 | 1 | 0 | 0.67 | 2.67
Usted conduce solo = двигайтесь самостоятельно | 1 | 0 | 1 | 0 | 0.67 | 2.67
viaje, excepcionalmente = едет, в виде исключения | 1 | 0 | 1 | 0 | 0.67 | 2.67
viento lateral = боковой ветер | 1 | 0 | 1 | 0 | 0.67 | 2.67
acercarse a = приближаться к | 1 | 0 | 1 | 0 | 0.5 | 2.5
algunos medicamentos deterioran = некоторые лекарства ухудшают | 1 | 0 | 1 | 0 | 0.5 | 2.5
alternar su uso = чередовать её использование | 1 | 0 | 1 | 0 | 0.5 | 2.5
bien iluminado = хорошо освещённый | 1 | 0 | 1 | 0 | 0.5 | 2.5
charcos y nieve = лужи и снег | 1 | 0 | 1 | 0 | 0.5 | 2.5
condiciones del medio = условия окружающей среды | 1 | 0 | 1 | 0 | 0.5 | 2.5
cumplir las normas = соблюдать правила | 1 | 0 | 1 | 0 | 0.5 | 2.5
darle algún alimento o bebida? = дать ему какую-нибудь еду или питье? | 1 | 0 | 1 | 0 | 0.5 | 2.5
depositar mercancías = складывать, оставлять груз | 1 | 0 | 1 | 0 | 0.5 | 2.5
difícil apreciar = трудно оценить | 1 | 0 | 1 | 0 | 0.5 | 2.5
edad avanzada = преклонный возраст | 1 | 0 | 1 | 0 | 0.5 | 2.5
efectuarse correctamente = выполняться правильно | 1 | 0 | 1 | 0 | 0.5 | 2.5
estado emocional = эмоциональное состояние | 1 | 0 | 1 | 0 | 0.5 | 2.5
estar concentrado = быть сосредоточенным | 1 | 0 | 1 | 0 | 0.5 | 2.5
Instantes antes = За мгновения до | 1 | 0 | 1 | 0 | 0.5 | 2.5
muchas curvas = много поворотов | 1 | 0 | 1 | 0 | 0.5 | 2.5
pocas curvas = мало поворотов | 1 | 0 | 1 | 0 | 0.5 | 2.5
prestar auxilio = оказать помощь | 1 | 0 | 1 | 0 | 0.5 | 2.5
sin obstaculizar = не создавая помех | 1 | 0 | 1 | 0 | 0.5 | 2.5
sobre todo = особенно, прежде всего | 1 | 0 | 1 | 0 | 0.5 | 2.5
uso compartido = совместное использование | 1 | 0 | 1 | 0 | 0.5 | 2.5
ahorrar carburante = экономия топлива | 1 | 0 | 1 | 0 | 0.33 | 2.33
al aproximarse a = при приближении к | 1 | 0 | 1 | 0 | 0.33 | 2.33
Bajo los efectos = Под воздействием | 1 | 0 | 1 | 0 | 0.33 | 2.33
Bloquear puertas = заблокировать двери | 1 | 0 | 1 | 0 | 0.33 | 2.33
Continuar recto = ехать прямо | 1 | 0 | 1 | 0 | 0.33 | 2.33
cuanto antes = как можно скорее | 1 | 0 | 1 | 0 | 0.33 | 2.33
de socorro = помощи | 1 | 0 | 1 | 0 | 0.33 | 2.33
descansos muy breves = очень короткие перерывы | 1 | 0 | 1 | 0 | 0.33 | 2.33
detención obligatoria = обязательная остановка | 1 | 0 | 1 | 0 | 0.33 | 2.33
distinto nivel = различный уровень | 1 | 0 | 1 | 0 | 0.33 | 2.33
es aconsejable = целесообразно | 1 | 0 | 1 | 0 | 0.33 | 2.33
es correcto = является правильным | 1 | 0 | 1 | 0 | 0.33 | 2.33
estar atento = быть внимательным | 1 | 0 | 1 | 0 | 0.33 | 2.33
estar compensadas = быть одинаковыми, сбалансированными | 1 | 0 | 1 | 0 | 0.33 | 2.33
estar tranquilo = быть спокойным | 1 | 0 | 1 | 0 | 0.33 | 2.33
existe relación entre = существует связь между | 1 | 0 | 1 | 0 | 0.33 | 2.33
itinerario que sigue = маршрут, который следует | 1 | 0 | 1 | 0 | 0.33 | 2.33
junto al borde = у края | 1 | 0 | 1 | 0 | 0.33 | 2.33
justo antes = непосредственно перед | 1 | 0 | 1 | 0 | 0.33 | 2.33
línea continua = непрерывная линия сплошная | 1 | 0 | 1 | 0 | 0.33 | 2.33
marca longitudinal = продольная разметка | 1 | 0 | 1 | 0 | 0.33 | 2.33
mercancías explosivas o inflamables = взрывчатые или легковоспламеняющиеся товары | 1 | 0 | 1 | 0 | 0.33 | 2.33
mercancías peligrosas = опасные грузы | 1 | 0 | 1 | 0 | 0.33 | 2.33
movimiento brusco = резкий манёвр | 1 | 0 | 1 | 0 | 0.33 | 2.33
más bajas revoluciones = более низкие обороты | 1 | 0 | 1 | 0 | 0.33 | 2.33
panel complementario = дополнительная табличка | 1 | 0 | 1 | 0 | 0.33 | 2.33
panel direccional permanente = постоянная направляющая панель | 1 | 0 | 1 | 0 | 0.33 | 2.33
panel direccional provisional = временная направляющая панель | 1 | 0 | 1 | 0 | 0.33 | 2.33
panel V-20 = щиток для обозначения выступающего груза | 1 | 0 | 1 | 0 | 0.33 | 2.33
piden auxilio = вызывают помощь | 1 | 0 | 1 | 0 | 0.33 | 2.33
que parezcan estar = которые кажутся находящимися | 1 | 0 | 1 | 0 | 0.33 | 2.33
resalte o badén = неровность или яма | 1 | 0 | 1 | 0 | 0.33 | 2.33
sacar el brazo = высовывать руку | 1 | 0 | 1 | 0 | 0.33 | 2.33
trastorno depresivo = депрессивное расстройство | 1 | 0 | 1 | 0 | 0.33 | 2.33
trastorno depresivo... = депрессивное расстройство... | 1 | 0 | 1 | 0 | 0.33 | 2.33
¿es correcto? = это правильно? | 1 | 0 | 1 | 0 | 0.33 | 2.33
🔵 OBLIGACIÓN = обязывающий знак | 1 | 0 | 1 | 0 | 0.33 | 2.33
Al centro comercial = в торговый центр | 1 | 0 | 1 | 0 | 0.17 | 2.17
al habitual = обычному / привычному | 1 | 0 | 1 | 0 | 0.17 | 2.17
ante un imprevisto = в случае непредвиденного события | 1 | 0 | 1 | 0 | 0.17 | 2.17
arranque automático = автоматический запуск | 1 | 0 | 1 | 0 | 0.17 | 2.17
como excepción = в виде исключения | 1 | 0 | 1 | 0 | 0.17 | 2.17
debidas precauciones = надлежащие меры предосторожности | 1 | 0 | 1 | 0 | 0.17 | 2.17
Desbloquear puertas = разблокировать двери | 1 | 0 | 1 | 0 | 0.17 | 2.17
Desempañamos el parabrisas = обдув стекла | 1 | 0 | 1 | 0 | 0.17 | 2.17
distintivo ambiental = экологическое обозначение автомобиля | 1 | 0 | 1 | 0 | 0.17 | 2.17
fuerte discusión = серьёзная ссора | 1 | 0 | 1 | 0 | 0.17 | 2.17
